property_name,areaWithType,square_feet,transaction,status,floor,furnishing,facing,price_per_sqft,price,floor_number
  Office Space for Sale in Begampura Surat,Super Area,403.0,Resale,Ready to Move,7 out of 11,Unknown,Unknown,6203.0,25.0,7.0
2 BHK Apartment for Sale in Dindoli Surat,Super Area,925.0,Unknown,Ready to Move,Resale,Unknown,Unknown,2347.0,21.7,5.0
"2 BHK Apartment for Sale in Devghat, Surat Surat",Super Area,1225.0,Resale,Ready to Move,1 out of 5,Unfurnished,Unknown,2449.0,30.0,1.0
2 BHK Apartment for Sale in Vrundavan Residency Nr Avirbhav Society Surat,Super Area,862.0,Resale,Ready to Move,4 out of 5,Semi-Furnished,Unknown,3191.0,27.5,4.0
2 BHK  House for Sale in Olpad Sayan Road Surat,Super Area,600.0,Resale,Ready to Move,Ground out of 1,Unfurnished,Unknown,4500.0,27.0,1.0
2 BHK Apartment for Sale in Umra Surat,Super Area,1200.0,Resale,Ready to Move,2 out of 7,Unfurnished,East,3917.0,47.0,2.0
  Shop for Sale in Sayan Surat,Carpet Area,195.0,Resale,Ready to Move,Ground out of 5,Unknown,Unknown,4416.0,17.0,5.0
  Shop for Sale in Chauta Bazar Surat,Carpet Area,110.0,Resale,Ready to Move,Upper Basement out of 4,Unknown,Unknown,31818.0,35.0,4.0
1 BHK Apartment for Sale in Thane Dombivali Surat,Carpet Area,405.0,1,Ready to Move,Furnished,Unknown,Unknown,4691.5,33.0,5.0
  Plot/Land for Sale in Dindoli Surat,Plot Area,420.0,3,Freehold,Resale,Unknown,No,2857.0,12.0,5.0
2 BHK Apartment for Sale in Raj Sambhav Apparent Surat,Super Area,1400.0,Resale,Ready to Move,2 out of 4,Furnished,Unknown,3571.0,50.0,2.0
  Shop for Sale in Mota Varachha Surat,Super Area,260.0,Resale,Ready to Move,Ground out of 5,Unknown,Unknown,14615.0,38.0,5.0
  Shop for Sale in Pal Surat,Super Area,496.0,Resale,Ready to Move,1 out of 4,Unknown,Unknown,5444.0,27.0,1.0
1 BHK Apartment for Sale in Pal Gam Surat,Super Area,700.0,Resale,Ready to Move,5 out of 10,Unfurnished,Unknown,2714.0,19.0,5.0
  Plot/Land for Sale in nilkant nagar near aspas dada temple godadra surat Surat,Plot Area,420.0,4,Resale,Congo,No,Unknown,4762.0,20.0,5.0
1 BHK Apartment for Sale in suman ashish Surat,Carpet Area,3.0,Resale,Ready to Move,2 out of 7,Unfurnished,East,3429.0,12.0,2.0
  Plot/Land for Sale in Olpad Sayan Road Surat,Plot Area,1413.0,Resale,120 X 105,Freehold,Unknown,30 m,1699.0,24.0,5.0
  Shop for Sale in Uttran Surat,Super Area,500.0,Resale,Ready to Move,Ground out of 5,Unknown,Unknown,6400.0,32.0,5.0
1 BHK Builder Floor for Sale in Adajan Surat,Super Area,650.0,Resale,Ready to Move,3 out of 5,Unfurnished,Unknown,2000.0,13.0,3.0
2 BHK Builder Floor for Sale in Nana Varachha Surat,Super Area,1150.0,Resale,Ready to Move,4 out of 5,Semi-Furnished,Unknown,2174.0,25.0,4.0
